mes_ocu,dia_sem_ocu,hora_ocu,g_hora,depto_ocu,mupio_ocu,zona_ocu,tipo_veh,color_veh,modelo_veh,marca_veh,tipo_eve,anio_ocu_file,num_corre,anio_ocu_dataset,anio_ocu
enero,martes,3.0,1,1.0,106.0,,pick up,ignorado,9999,jmc,choque,2013,1.0,,2013.0
enero,martes,5.0,1,1.0,101.0,,automovil,blanco,2010,avanti,choque,2013,2.0,,2013.0
enero,martes,3.0,1,1.0,108.0,,automovil,gris,9999,genesis,colision,2013,3.0,,2013.0
enero,martes,0.0,1,19.0,1901.0,,motocicleta,rojo,2012,great wall,choque,2013,4.0,,2013.0
enero,martes,18.0,4,19.0,1901.0,,pick up,rojo,9999,land rover,vuelco,2013,5.0,,2013.0
enero,martes,0.0,1,5.0,502.0,,motocicleta,negro,2001,tvs apache,choque,2013,6.0,,2013.0
enero,martes,11.0,2,9.0,901.0,,camioneta,negro,9999,land rover,choque,2013,7.0,,2013.0
enero,martes,1.0,1,12.0,1217.0,,camion,verde,1992,jeep,colision,2013,8.0,,2013.0
enero,martes,7.0,2,13.0,1322.0,,pick up,ignorado,9999,land rover,vuelco,2013,9.0,,2013.0
enero,martes,8.0,2,16.0,1604.0,,camion,blanco,1999,freightliner,choque,2013,10.0,,2013.0
enero,martes,3.0,1,18.0,1801.0,,motocicleta,ignorado,9999,jmc,choque,2013,11.0,,2013.0
enero,martes,4.0,1,3.0,301.0,,motocicleta,ignorado,9999,jmc,choque,2013,12.0,,2013.0
enero,martes,2.0,1,3.0,308.0,,motocicleta,negro,9999,jmc,choque,2013,13.0,,2013.0
enero,miercoles,15.0,3,1.0,101.0,,pick up,blanco,2008,land rover,colision,2013,14.0,,2013.0
enero,miercoles,7.0,2,1.0,101.0,,bus urbano,verde,9999,jmc,colision,2013,15.0,,2013.0
enero,miercoles,22.0,4,1.0,101.0,,taxi,blanco,9999,genesis,colision,2013,16.0,,2013.0
enero,miercoles,7.0,2,5.0,501.0,,camion,blanco,1999,land rover,colision,2013,17.0,,2013.0
enero,miercoles,10.0,2,6.0,611.0,,bus urbano,ignorado,9999,jmc,vuelco,2013,18.0,,2013.0
enero,miercoles,18.0,4,13.0,1301.0,,motocicleta,azul,9999,kenworth,colision,2013,19.0,,2013.0
enero,miercoles,10.0,2,16.0,1608.0,,bus urbano,amarillo,1995,daihatsu,vuelco,2013,20.0,,2013.0
enero,jueves,11.0,2,1.0,101.0,,bus urbano,rojo,9999,jmc,colision,2013,21.0,,2013.0
enero,jueves,21.0,4,1.0,108.0,,pick up,blanco,9999,jeep,colision,2013,22.0,,2013.0
enero,jueves,14.0,3,5.0,501.0,,camion,blanco,9999,jmc,colision,2013,23.0,,2013.0
enero,jueves,19.0,4,9.0,917.0,,camioneta,corinto,9999,chrysler,colision,2013,24.0,,2013.0
enero,jueves,20.0,4,13.0,1301.0,,pick up,azul,9999,land rover,vuelco,2013,25.0,,2013.0
enero,jueves,22.0,4,2.0,203.0,,microbus,blanco,9999,genesis,colision,2013,26.0,,2013.0
enero,jueves,16.0,3,7.0,701.0,,microbus,gris,9999,genesis,vuelco,2013,27.0,,2013.0
enero,viernes,17.0,3,1.0,101.0,,automovil,blanco,9999,italika,colision,2013,28.0,,2013.0
enero,viernes,7.0,2,1.0,101.0,,motocicleta,ignorado,9999,jmc,vuelco,2013,29.0,,2013.0
enero,viernes,6.0,2,20.0,2008.0,,tractor,amarillo,9999,jmc,colision,2013,30.0,,2013.0
