mes_ocu,dia_sem_ocu,hora_ocu,depto_ocu,mupio_ocu,zona_ocu,mayor_menor,tipo_veh,color_veh,modelo_veh,marca_veh,tipo_eve,estado_con,g_modelo_veh,sex_cond,edad_con,edad_con_grupo,anio_ocu_file,num_corre,anio_ocu_dataset,anio_ocu,g_hora
enero,martes,3.0,1.0,106.0,,mayor,pick up,ignorado,6,jmc,choque,ebrio,2020-2029,hombre,32,30-34,2013,1.0,,2013.0,
enero,martes,5.0,1.0,101.0,,mayor,automovil,blanco,5,avanti,choque,ebrio,2010-2019,hombre,34,30-34,2013,2.0,,2013.0,
enero,martes,3.0,1.0,108.0,,mayor,automovil,gris,6,genesis,colision,ebrio,2020-2029,hombre,28,25-29,2013,3.0,,2013.0,
enero,martes,3.0,1.0,108.0,,mayor,pick up,verde,4,land rover,colision,no ebrio,2000-2009,hombre,43,40-44,2013,4.0,,2013.0,
enero,martes,0.0,19.0,1901.0,,mayor,motocicleta,rojo,5,great wall,choque,no ebrio,2010-2019,hombre,21,20-24,2013,5.0,,2013.0,
enero,martes,18.0,19.0,1901.0,,mayor,pick up,rojo,6,land rover,vuelco,ignorado,2020-2029,hombre,19,15-19,2013,6.0,,2013.0,
enero,martes,0.0,5.0,502.0,,mayor,motocicleta,negro,4,tvs apache,choque,no ebrio,2000-2009,hombre,24,20-24,2013,7.0,,2013.0,
enero,martes,11.0,9.0,901.0,,mayor,camioneta,negro,6,land rover,choque,ebrio,2020-2029,hombre,36,35-39,2013,8.0,,2013.0,
enero,martes,1.0,12.0,1217.0,,mayor,camion,verde,3,jeep,colision,no ebrio,1990-1999,hombre,38,35-39,2013,9.0,,2013.0,
enero,martes,1.0,12.0,1217.0,,mayor,motocicleta,azul,6,kenworth,colision,ebrio,2020-2029,ignorado,999,ignorado,2013,10.0,,2013.0,
enero,martes,7.0,13.0,1322.0,,mayor,pick up,ignorado,6,land rover,vuelco,no ebrio,2020-2029,ignorado,999,ignorado,2013,11.0,,2013.0,
enero,martes,8.0,16.0,1604.0,,mayor,camion,blanco,3,freightliner,choque,ebrio,1990-1999,hombre,33,30-34,2013,12.0,,2013.0,
